['CabinetSize_CondensingUnit', 'CabinetSizeID', 'int', '4', 'Oct-00']
['CabinetSize_CondensingUnit', 'CabinetSize', 'nvarchar', '8000', '0/0']
['CabinetSize_CondensingUnit', 'CabinetSize', 'sysname', '256', '0/0']
['CabinetSize_CondensingUnit', 'Length', 'decimal', '17', '38/38']
['CabinetSize_CondensingUnit', 'Width', 'decimal', '17', '38/38']
['CabinetSize_CondensingUnit', 'Height', 'decimal', '17', '38/38']
['CondensingUnitFanCyclingConfig_CondensingUnit', 'CondensingUnitFanCyclingConfigID', 'int', '4', 'Oct-00']
['CondensingUnitFanCyclingConfig_CondensingUnit', 'FanCyclingConfigDescription', 'nvarchar', '8000', '0/0']
['CondensingUnitFanCyclingConfig_CondensingUnit', 'FanCyclingConfigDescription', 'sysname', '256', '0/0']
['CondensingUnitFanCyclingConfig_CondensingUnit', 'FanCyclingOptionID', 'int', '4', 'Oct-00']
['CondensingUnitFanCyclingConfig_CondensingUnit', 'NumberofFans', 'int', '4', 'Oct-00']
['CondensingUnitFanCyclingConfig_CondensingUnit', 'FanCyclingConfig', 'nvarchar', '8000', '0/0']
['CondensingUnitFanCyclingConfig_CondensingUnit', 'FanCyclingConfig', 'sysname', '256', '0/0']
['CondensingUnitFanCyclingConfig_CondensingUnit', 'FanCyclingControl', 'nvarchar', '8000', '0/0']
['CondensingUnitFanCyclingConfig_CondensingUnit', 'FanCyclingControl', 'sysname', '256', '0/0']
['CondensingUnitFanCyclingOptions_CondensingUnit', 'CondensingUnitFanCyclingOptionsID', 'int', '4', 'Oct-00']
['CondensingUnitFanCyclingOptions_CondensingUnit', 'CondensingUnitProdLineID', 'int', '4', 'Oct-00']
['CondensingUnitFanCyclingOptions_CondensingUnit', 'FanCyclingDescription', 'nvarchar', '8000', '0/0']
['CondensingUnitFanCyclingOptions_CondensingUnit', 'FanCyclingDescription', 'sysname', '256', '0/0']
['CondensingUnitFanCyclingOptions_CondensingUnit', 'FanCycling', 'nvarchar', '8000', '0/0']
['CondensingUnitFanCyclingOptions_CondensingUnit', 'FanCycling', 'sysname', '256', '0/0']
['CondensingUnitFanCyclingOptions_CondensingUnit', 'FanCyclingSteps', 'int', '4', 'Oct-00']
['CondensingUnitFanCyclingOptions_CondensingUnit', 'FanCyclingStepsDescription', 'nvarchar', '8000', '0/0']
['CondensingUnitFanCyclingOptions_CondensingUnit', 'FanCyclingStepsDescription', 'sysname', '256', '0/0']
['CondensingUnitFanCyclingOptionsAvaialbility_CondensingUnit', 'CondensingUnitFanCyclingOptionsAvaialbilityID', 'int', '4', 'Oct-00']
['CondensingUnitFanCyclingOptionsAvaialbility_CondensingUnit', 'UnitTypeID', 'int', '4', 'Oct-00']
['CondensingUnitFanCyclingOptionsAvaialbility_CondensingUnit', 'HSCondenserID', 'int', '4', 'Oct-00']
['CondensingUnitFanCyclingOptionsAvaialbility_CondensingUnit', 'FanCyclingOptionID', 'int', '4', 'Oct-00']
['CondensingUnitFanCyclingOptionsAvaialbility_CondensingUnit', 'IsCapTubes', 'bit', '1', 'Jan-00']
['CondensingUnitFanCyclingOptionsAvaialbility_CondensingUnit', 'ISUltracaps', 'bit', '1', 'Jan-00']
['CondensingUnitModel_CondensingUnit', 'CondUnitModelID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'CondensingUnitProdLineID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'CondUnitModelNumber', 'nvarchar', '8000', '0/0']
['CondensingUnitModel_CondensingUnit', 'CondUnitModelNumber', 'sysname', '256', '0/0']
['CondensingUnitModel_CondensingUnit', 'CondenserModelID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'Title24Compliant', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'UnitSize', 'nvarchar', '8000', '0/0']
['CondensingUnitModel_CondensingUnit', 'UnitSize', 'sysname', '256', '0/0']
['CondensingUnitModel_CondensingUnit', 'UnitWeight', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'Length', 'decimal', '17', '38/38']
['CondensingUnitModel_CondensingUnit', 'Width', 'decimal', '17', '38/38']
['CondensingUnitModel_CondensingUnit', 'Height', 'decimal', '17', '38/38']
['CondensingUnitModel_CondensingUnit', 'CondenserTypeID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'ModelSuffixID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'GeometryID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'hasCondFanCycling', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'hasSuctFilter', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'hasOilSeparator', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'CondFanMotorID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'CabinetSizeID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'ReceiverSizeID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'hasPressureFanCycling', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'CompressorModelID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'UnitTypeID', 'int', '4', 'Oct-00']
['CondensingUnitModel_CondensingUnit', 'RefrigerantTypeID', 'int', '4', 'Oct-00']
['CondensingUnitProdLine_CondensingUnit', 'CondensingUnitProdLineID', 'int', '4', 'Oct-00']
['CondensingUnitProdLine_CondensingUnit', 'CondensingUnitProdLine', 'nvarchar', '8000', '0/0']
['CondensingUnitProdLine_CondensingUnit', 'CondensingUnitProdLine', 'sysname', '256', '0/0']
['CondUnitAddOptions_CondensingUnit', 'CondUnitAddOptionsID', 'int', '4', 'Oct-00']
['CondUnitAddOptions_CondensingUnit', 'Description', 'nvarchar', '8000', '0/0']
['CondUnitAddOptions_CondensingUnit', 'Description', 'sysname', '256', '0/0']
['CondUnitAddOptions_CondensingUnit', 'DualUnitMultiplier', 'nvarchar', '8000', '0/0']
['CondUnitAddOptions_CondensingUnit', 'DualUnitMultiplier', 'sysname', '256', '0/0']
['CondUnitAddOptions_CondensingUnit', 'Price', 'money', '8', '19/4']
['CondUnitBaaNData_CondensingUnit', 'CondUnitBaaNDataID', 'int', '4', 'Oct-00']
['CondUnitBaaNData_CondensingUnit', 'CondUnitModelID', 'int', '4', 'Oct-00']
['CondUnitBaaNData_CondensingUnit', 'CompressorHP', 'int', '4', 'Oct-00']
['CondUnitBaaNData_CondensingUnit', 'CondType', 'int', '4', 'Oct-00']
['CondUnitBaaNData_CondensingUnit', 'CondTypeDesc', 'nvarchar', '8000', '0/0']
['CondUnitBaaNData_CondensingUnit', 'CondTypeDesc', 'sysname', '256', '0/0']
['CondUnitBaaNData_CondensingUnit', 'AppTempDesc', 'nvarchar', '8000', '0/0']
['CondUnitBaaNData_CondensingUnit', 'AppTempDesc', 'sysname', '256', '0/0']
['CondUnitBaaNData_CondensingUnit', 'RefType', 'nvarchar', '8000', '0/0']
['CondUnitBaaNData_CondensingUnit', 'RefType', 'sysname', '256', '0/0']
['CondUnitBaaNData_CondensingUnit', 'RefTypeDesc', 'nvarchar', '8000', '0/0']
['CondUnitBaaNData_CondensingUnit', 'RefTypeDesc', 'sysname', '256', '0/0']
['CondUnitBaaNData_CondensingUnit', 'AWEFPassOrFail', 'nvarchar', '8000', '0/0']
['CondUnitBaaNData_CondensingUnit', 'AWEFPassOrFail', 'sysname', '256', '0/0']
['CondUnitBaaNData_CondensingUnit', 'AWEFRating', 'real', '4', '24/0']
['CondUnitBaaNData_CondensingUnit', 'RefrigerantTypeID', 'int', '4', 'Oct-00']
['CondUnitBaseType_CondensingUnit', 'CondUnitBaseTypeID', 'int', '4', 'Oct-00']
['CondUnitBaseType_CondensingUnit', 'CondUnitBaseTypeDescription', 'nvarchar', '8000', '0/0']
